,Category, Calories, Fat (g), Carb. (g), Fiber (g), Protein (g)
Egg Salad Sandwich,Other Food,480,27,42,7,16
Homestyle Chicken & Double-Smoked Bacon,Other Food,480,17,57,3,23
Italian-Style Ham & Spicy Salami,Other Food,480,20,49,3,22
Lentils & Vegetable Protein Bowl with Brown Rice,Other Food,650,29,80,21,23
Roasted Tomato & Mozzarella Panini,Other Food,420,18,47,3,11
Turkey & Havarti Sandwich,Other Food,460,21,31,2,29
Turkey Pesto Panini,Other Food,560,23,55,3,34
Berry Trio Yogurt,Breakfast,240,2.5,39,3,14
Fresh Blueberries and Honey Greek Yogurt Parfait,Breakfast,240,2.5,42,2,14
Justin's Chocolate Hazelnut Butter,Other Food,180,14,12,3,4
Justin's Classic Almond Butter,Other Food,190,18,6,3,7
Lemon Chiffon Yogurt,Breakfast,340,13,38,0,18
Organic Avocado (Spread),Breakfast,90,8,5,4,1
Seasonal Fruit Blend,Breakfast,90,0,24,4,1
