restaurant id,category id,item id,category,item,serving size (oz),calories,calories from fat,total fat (g),total fat (% daily value),saturated fat (g),saturated fat (% daily value),trans fat (g),cholesterol (mg),cholesterol (% daily value),sodium (mg),sodium (% daily value),carbohydrates (g),carbohydrates (% daily value),dietary fiber (g),dietary fiber (% daily value),sugars (g),protein (g),vitamin a (% daily value),vitamin c (% daily value),calcium (% daily value),iron (% daily value)
3000,nan,475,beverages,white chocolate mocha (without whipped cream) grande nonfat milk,nan,350,nan,6,nan,0.0,nan,4.5,61.0,nan,10.0,nan,240,nan,0,nan,58.0,15.0,20.0,2.0,45.0,2.0
3000,nan,476,beverages,white chocolate mocha (without whipped cream) grande 2% milk,nan,400,nan,11,nan,0.2,nan,7.0,61.0,nan,25.0,nan,250,nan,0,nan,58.0,15.0,15.0,2.0,45.0,0.0
3000,nan,477,beverages,white chocolate mocha (without whipped cream) grande soymilk,nan,370,nan,10,nan,0.0,nan,5.0,56.0,nan,0.0,nan,220,nan,1,nan,51.0,13.0,10.0,2.0,45.0,15.0
3000,nan,478,beverages,white chocolate mocha (without whipped cream) venti nonfat milk,nan,450,nan,7,nan,0.0,nan,6.0,78.0,nan,10.0,nan,310,nan,0,nan,74.0,19.0,25.0,2.0,60.0,2.0
3000,nan,479,beverages,white chocolate mocha (without whipped cream) venti 2% milk,nan,510,nan,15,nan,0.2,nan,9.0,77.0,nan,35.0,nan,330,nan,0,nan,74.0,19.0,20.0,4.0,60.0,2.0
3000,nan,480,beverages,white chocolate mocha (without whipped cream) venti soymilk,nan,460,nan,13,nan,0.0,nan,6.0,70.0,nan,5.0,nan,290,nan,1,nan,64.0,16.0,15.0,2.0,60.0,20.0
3000,nan,481,beverages,hot chocolate (without whipped cream) short nonfat milk,nan,130,nan,1.5,nan,0.0,nan,1.0,26.0,nan,5.0,nan,70,nan,1,nan,23.0,7.0,10.0,0.0,20.0,10.0
3000,nan,482,beverages,hot chocolate (without whipped cream) short 2% milk,nan,150,nan,4.5,nan,0.1,nan,2.5,26.0,nan,15.0,nan,80,nan,1,nan,22.0,7.0,10.0,0.0,20.0,10.0
3000,nan,483,beverages,hot chocolate (without whipped cream) short soymilk,nan,130,nan,3.5,nan,0.0,nan,1.0,23.0,nan,0.0,nan,60,nan,2,nan,18.0,6.0,6.0,0.0,20.0,20.0
3000,nan,484,beverages,hot chocolate (without whipped cream) tall nonfat milk,nan,190,nan,2,nan,0.0,nan,1.0,37.0,nan,5.0,nan,110,nan,1,nan,32.0,11.0,15.0,0.0,30.0,20.0
3000,nan,485,beverages,hot chocolate (without whipped cream) tall  2% milk,nan,230,nan,7,nan,0.2,nan,3.5,37.0,nan,20.0,nan,120,nan,1,nan,32.0,10.0,15.0,0.0,30.0,20.0
3000,nan,486,beverages,hot chocolate (without whipped cream) tall  soymilk,nan,200,nan,6,nan,0.0,nan,1.5,32.0,nan,0.0,nan,95,nan,2,nan,25.0,9.0,10.0,0.0,30.0,30.0
3000,nan,487,beverages,hot chocolate (without whipped cream) grande nonfat milk,nan,240,nan,2.5,nan,0.0,nan,1.5,48.0,nan,5.0,nan,140,nan,2,nan,41.0,14.0,20.0,0.0,40.0,25.0
3000,nan,488,beverages,hot chocolate (without whipped cream) grande 2% milk,nan,290,nan,9,nan,0.2,nan,5.0,47.0,nan,25.0,nan,160,nan,2,nan,41.0,14.0,20.0,2.0,40.0,25.0
3000,nan,489,beverages,hot chocolate (without whipped cream) grande soymilk,nan,250,nan,7,nan,0.0,nan,2.0,41.0,nan,0.0,nan,125,nan,3,nan,32.0,12.0,15.0,0.0,40.0,40.0
3000,nan,490,beverages,hot chocolate (without whipped cream) venti nonfat milk,nan,320,nan,3,nan,0.0,nan,2.0,63.0,nan,10.0,nan,180,nan,2,nan,55.0,18.0,25.0,0.0,50.0,30.0
3000,nan,491,beverages,hot chocolate (without whipped cream) venti  2% milk,nan,380,nan,11,nan,0.3,nan,6.0,63.0,nan,35.0,nan,200,nan,2,nan,54.0,17.0,25.0,2.0,50.0,30.0
3000,nan,492,beverages,hot chocolate (without whipped cream) venti  soymilk,nan,330,nan,9,nan,0.0,nan,2.5,55.0,nan,0.0,nan,160,nan,4,nan,44.0,15.0,15.0,0.0,50.0,50.0
3000,nan,493,beverages,caramel apple spice (without whipped cream) short,nan,140,nan,0,nan,0.0,nan,0.0,35.0,nan,0.0,nan,10,nan,0,nan,33.0,0.0,0.0,0.0,0.0,0.0
3000,nan,494,beverages,caramel apple spice (without whipped cream) tall,nan,210,nan,0,nan,0.0,nan,0.0,53.0,nan,0.0,nan,15,nan,0,nan,49.0,0.0,0.0,0.0,0.0,0.0
3000,nan,495,beverages,caramel apple spice (without whipped cream) grande,nan,280,nan,0,nan,0.0,nan,0.0,70.0,nan,0.0,nan,20,nan,0,nan,65.0,0.0,0.0,0.0,0.0,0.0
3000,nan,496,beverages,caramel apple spice (without whipped cream) venti,nan,360,nan,0,nan,0.0,nan,0.0,89.0,nan,0.0,nan,25,nan,0,nan,83.0,0.0,0.0,0.0,0.0,0.0
3000,nan,497,beverages,tazo tea short,nan,0,nan,0,nan,0.0,nan,0.0,0.0,nan,0.0,nan,0,nan,0,nan,0.0,0.0,0.0,0.0,0.0,0.0
3000,nan,498,beverages,tazo tea tall,nan,0,nan,0,nan,0.0,nan,0.0,0.0,nan,0.0,nan,0,nan,0,nan,0.0,0.0,0.0,0.0,0.0,0.0
3000,nan,499,beverages,tazo tea grande,nan,0,nan,0,nan,0.0,nan,0.0,0.0,nan,0.0,nan,0,nan,0,nan,0.0,0.0,0.0,0.0,0.0,0.0
3000,nan,500,beverages,tazo tea venti,nan,0,nan,0,nan,0.0,nan,0.0,0.0,nan,0.0,nan,0,nan,0,nan,0.0,0.0,0.0,0.0,0.0,0.0
3000,nan,501,beverages,tazo chai tea latte short nonfat milk,nan,100,nan,0.1,nan,0.0,nan,0.1,22.0,nan,0.0,nan,50,nan,0,nan,21.0,4.0,6.0,0.0,10.0,0.0
3000,nan,502,beverages,tazo chai tea latte short 2% milk,nan,120,nan,2,nan,0.1,nan,1.0,22.0,nan,10.0,nan,55,nan,0,nan,21.0,4.0,6.0,0.0,10.0,0.0
3000,nan,503,beverages,tazo chai tea latte short soymilk,nan,110,nan,1.5,nan,0.0,nan,0.2,20.0,nan,0.0,nan,45,nan,0,nan,18.0,3.0,4.0,0.0,10.0,6.0
3000,nan,504,beverages,tazo chai tea latte tall nonfat milk,nan,160,nan,0.2,nan,0.0,nan,0.1,34.0,nan,5.0,nan,80,nan,0,nan,32.0,6.0,10.0,0.0,20.0,2.0
3000,nan,505,beverages,tazo chai tea latte tall  2% milk,nan,190,nan,3.5,nan,0.1,nan,1.5,34.0,nan,15.0,nan,90,nan,0,nan,32.0,6.0,10.0,0.0,20.0,2.0
3000,nan,506,beverages,tazo chai tea latte tall  soymilk,nan,160,nan,2.5,nan,0.0,nan,0.3,31.0,nan,0.0,nan,70,nan,1,nan,28.0,5.0,6.0,0.0,20.0,10.0
3000,nan,507,beverages,tazo chai tea latte grande nonfat milk,nan,210,nan,0.2,nan,0.0,nan,0.1,45.0,nan,5.0,nan,105,nan,0,nan,43.0,8.0,15.0,0.0,25.0,2.0
3000,nan,508,beverages,tazo chai tea latte grande 2% milk,nan,240,nan,4.5,nan,0.1,nan,2.0,45.0,nan,20.0,nan,115,nan,0,nan,42.0,8.0,10.0,0.0,25.0,2.0
3000,nan,509,beverages,tazo chai tea latte grande soymilk,nan,220,nan,3.5,nan,0.0,nan,0.4,41.0,nan,0.0,nan,90,nan,1,nan,37.0,6.0,8.0,0.0,25.0,10.0
3000,nan,510,beverages,tazo chai tea latte venti nonfat milk,nan,260,nan,0.3,nan,0.0,nan,0.2,57.0,nan,5.0,nan,135,nan,0,nan,54.0,10.0,15.0,0.0,35.0,2.0
3000,nan,511,beverages,tazo chai tea latte venti  2% milk,nan,310,nan,6,nan,0.2,nan,3.0,56.0,nan,25.0,nan,150,nan,0,nan,53.0,10.0,15.0,2.0,30.0,2.0
3000,nan,512,beverages,tazo chai tea latte venti  soymilk,nan,280,nan,4.5,nan,0.0,nan,0.5,51.0,nan,0.0,nan,115,nan,1,nan,46.0,8.0,10.0,0.0,30.0,15.0
3000,nan,513,beverages,tazo green tea latte short nonfat milk,nan,130,nan,0.2,nan,0.0,nan,0.1,26.0,nan,5.0,nan,85,nan,0,nan,25.0,7.0,10.0,4.0,20.0,2.0
3000,nan,514,beverages,tazo green tea latte short 2% milk,nan,170,nan,4,nan,0.1,nan,2.0,26.0,nan,15.0,nan,95,nan,0,nan,25.0,7.0,10.0,6.0,20.0,2.0
3000,nan,515,beverages,tazo green tea latte short soymilk,nan,140,nan,3,nan,0.0,nan,0.4,22.0,nan,0.0,nan,70,nan,1,nan,20.0,6.0,8.0,4.0,20.0,10.0
3000,nan,516,beverages,tazo green tea latte tall nonfat milk,nan,210,nan,0.4,nan,0.0,nan,0.2,42.0,nan,5.0,nan,125,nan,1,nan,41.0,11.0,20.0,10.0,35.0,4.0
3000,nan,517,beverages,tazo green tea latte tall 2% milk,nan,260,nan,6,nan,0.2,nan,3.0,41.0,nan,25.0,nan,140,nan,1,nan,40.0,10.0,15.0,10.0,35.0,4.0
3000,nan,518,beverages,tazo green tea latte tall soymilk,nan,230,nan,4.5,nan,0.0,nan,0.5,36.0,nan,0.0,nan,110,nan,2,nan,33.0,9.0,10.0,10.0,35.0,15.0
3000,nan,519,beverages,tazo green tea latte grande nonfat milk,nan,290,nan,0.5,nan,0.0,nan,0.2,57.0,nan,10.0,nan,160,nan,1,nan,56.0,14.0,25.0,15.0,45.0,4.0
3000,nan,520,beverages,tazo green tea latte grande 2% milk,nan,350,nan,8,nan,0.2,nan,4.0,57.0,nan,30.0,nan,180,nan,1,nan,55.0,14.0,20.0,15.0,45.0,4.0
3000,nan,521,beverages,tazo green tea latte grande soymilk,nan,310,nan,6,nan,0.0,nan,1.0,50.0,nan,0.0,nan,140,nan,3,nan,46.0,11.0,15.0,15.0,45.0,25.0
3000,nan,522,beverages,tazo green tea latte venti nonfat milk,nan,370,nan,0.5,nan,0.0,nan,0.3,73.0,nan,10.0,nan,200,nan,2,nan,71.0,18.0,30.0,20.0,60.0,6.0
3000,nan,523,beverages,tazo green tea latte venti 2% milk,nan,450,nan,10,nan,0.3,nan,5.0,72.0,nan,40.0,nan,230,nan,2,nan,71.0,17.0,25.0,20.0,50.0,6.0
3000,nan,524,beverages,tazo green tea latte venti soymilk,nan,390,nan,8,nan,0.0,nan,1.0,64.0,nan,0.0,nan,180,nan,4,nan,58.0,14.0,20.0,20.0,60.0,30.0
3000,nan,525,beverages,tazo full leaf tea latte short nonfat milk,nan,80,nan,0.1,nan,0.0,nan,0.1,16.0,nan,0.0,nan,45,nan,0,nan,16.0,4.0,6.0,0.0,10.0,0.0
3000,nan,526,beverages,tazo full leaf tea latte short 2% milk,nan,90,nan,2,nan,0.1,nan,1.0,15.0,nan,10.0,nan,50,nan,0,nan,15.0,3.0,6.0,0.0,10.0,0.0
3000,nan,527,beverages,tazo full leaf tea latte short soymilk,nan,80,nan,1.5,nan,0.0,nan,0.2,14.0,nan,0.0,nan,40,nan,0,nan,13.0,3.0,4.0,0.0,10.0,6.0
3000,nan,528,beverages,tazo full leaf tea latte tall nonfat milk,nan,120,nan,0.1,nan,0.0,nan,0.1,23.0,nan,5.0,nan,65,nan,0,nan,23.0,5.0,10.0,0.0,20.0,0.0
3000,nan,529,beverages,tazo full leaf tea latte tall 2% milk,nan,140,nan,3,nan,0.1,nan,1.5,23.0,nan,15.0,nan,75,nan,0,nan,23.0,5.0,8.0,0.0,15.0,0.0
3000,nan,530,beverages,tazo full leaf tea latte tall soymilk,nan,130,nan,2.5,nan,0.0,nan,0.3,21.0,nan,0.0,nan,60,nan,1,nan,19.0,4.0,6.0,0.0,20.0,8.0
3000,nan,531,beverages,tazo full leaf tea latte grande nonfat milk,nan,150,nan,0.2,nan,0.0,nan,0.1,31.0,nan,5.0,nan,85,nan,0,nan,31.0,7.0,15.0,0.0,25.0,0.0
3000,nan,532,beverages,tazo full leaf tea latte grande  2% milk,nan,190,nan,4,nan,0.1,nan,2.0,31.0,nan,15.0,nan,95,nan,0,nan,30.0,7.0,10.0,0.0,25.0,0.0
3000,nan,533,beverages,tazo full leaf tea latte grande  soymilk,nan,170,nan,3.5,nan,0.0,nan,0.4,27.0,nan,0.0,nan,80,nan,1,nan,25.0,6.0,8.0,0.0,25.0,10.0
3000,nan,534,beverages,tazo full leaf tea latte venti nonfat milk,nan,190,nan,0.2,nan,0.0,nan,0.1,39.0,nan,5.0,nan,110,nan,0,nan,39.0,9.0,15.0,0.0,30.0,0.0
3000,nan,535,beverages,tazo full leaf tea latte venti 2% milk,nan,230,nan,5,nan,0.2,nan,2.5,38.0,nan,20.0,nan,125,nan,0,nan,38.0,9.0,15.0,0.0,30.0,0.0
3000,nan,536,beverages,tazo full leaf tea latte venti soymilk,nan,210,nan,4,nan,0.0,nan,0.5,34.0,nan,0.0,nan,100,nan,1,nan,32.0,7.0,10.0,0.0,30.0,15.0
3000,nan,537,beverages,tazo full leaf red tea latte (vanilla rooibos) short nonfat milk,nan,80,nan,0.1,nan,0.0,nan,0.1,16.0,nan,0.0,nan,45,nan,0,nan,16.0,4.0,6.0,0.0,10.0,0.0
3000,nan,538,beverages,tazo full leaf red tea latte (vanilla rooibos) short 2% milk,nan,90,nan,2,nan,0.1,nan,1.0,15.0,nan,10.0,nan,50,nan,0,nan,15.0,3.0,6.0,0.0,10.0,0.0
3000,nan,539,beverages,tazo full leaf red tea latte (vanilla rooibos) short soymilk,nan,80,nan,1.5,nan,0.0,nan,0.2,14.0,nan,0.0,nan,40,nan,0,nan,13.0,3.0,4.0,0.0,10.0,6.0
3000,nan,540,beverages,tazo full leaf red tea latte (vanilla rooibos) tall nonfat milk,nan,120,nan,0.1,nan,0.0,nan,0.1,23.0,nan,5.0,nan,65,nan,0,nan,23.0,5.0,10.0,0.0,20.0,0.0
3000,nan,541,beverages,tazo full leaf red tea latte (vanilla rooibos) tall 2% milk,nan,140,nan,3,nan,0.1,nan,1.5,23.0,nan,15.0,nan,75,nan,0,nan,23.0,5.0,8.0,0.0,15.0,0.0
3000,nan,542,beverages,tazo full leaf red tea latte (vanilla rooibos) tall soymilk,nan,130,nan,2.5,nan,0.0,nan,0.3,21.0,nan,0.0,nan,60,nan,1,nan,19.0,4.0,6.0,0.0,20.0,8.0
3000,nan,543,beverages,tazo full leaf red tea latte (vanilla rooibos) grande nonfat milk,nan,150,nan,0.2,nan,0.0,nan,0.1,31.0,nan,5.0,nan,85,nan,0,nan,31.0,7.0,15.0,0.0,25.0,0.0
3000,nan,544,beverages,tazo full leaf red tea latte (vanilla rooibos) grande 2% milk,nan,190,nan,4,nan,0.1,nan,2.0,31.0,nan,15.0,nan,95,nan,0,nan,30.0,7.0,10.0,0.0,25.0,0.0
3000,nan,545,beverages,tazo full leaf red tea latte (vanilla rooibos) grande soymilk,nan,170,nan,3.5,nan,0.0,nan,0.4,27.0,nan,0.0,nan,80,nan,1,nan,25.0,6.0,8.0,0.0,25.0,10.0
3000,nan,546,beverages,tazo full leaf red tea latte (vanilla rooibos) venti nonfat milk,nan,190,nan,0.2,nan,0.0,nan,0.1,39.0,nan,5.0,nan,110,nan,0,nan,39.0,9.0,15.0,0.0,30.0,0.0
3000,nan,547,beverages,tazo full leaf red tea latte (vanilla rooibos) venti 2% milk,nan,230,nan,5,nan,0.2,nan,2.5,38.0,nan,20.0,nan,125,nan,0,nan,38.0,9.0,15.0,0.0,30.0,0.0
3000,nan,548,beverages,tazo full leaf red tea latte (vanilla rooibos) venti soymilk,nan,210,nan,4,nan,0.0,nan,0.5,34.0,nan,0.0,nan,100,nan,1,nan,32.0,7.0,10.0,0.0,30.0,15.0
3000,nan,549,beverages,iced brewed coffee (with classic syrup) tall,nan,60,nan,0,nan,0.0,nan,0.0,15.0,nan,0.0,nan,4,nan,0,nan,15.0,0.2,0.0,0.0,0.0,0.0
3000,nan,550,beverages,iced brewed coffee (with classic syrup) grande,nan,90,nan,0.1,nan,0.0,nan,0.0,21.0,nan,0.0,nan,5,nan,0,nan,21.0,0.3,0.0,0.0,0.0,0.0
3000,nan,551,beverages,iced brewed coffee (with classic syrup) venti,nan,130,nan,0.1,nan,0.0,nan,0.0,31.0,nan,0.0,nan,5,nan,0,nan,31.0,0.4,0.0,0.0,0.0,0.0
3000,nan,552,beverages,iced brewed coffee (with milk & classic syrup) tall nonfat milk,nan,80,nan,0.1,nan,0.0,nan,0.0,18.0,nan,0.0,nan,25,nan,0,nan,18.0,2.0,2.0,0.0,6.0,0.0
3000,nan,553,beverages,iced brewed coffee (with milk & classic syrup) tall  2% milk,nan,90,nan,1,nan,0.0,nan,0.5,18.0,nan,5.0,nan,25,nan,0,nan,18.0,2.0,2.0,0.0,6.0,0.0
3000,nan,554,beverages,iced brewed coffee (with milk & classic syrup) tall soymilk,nan,80,nan,1,nan,0.0,nan,0.1,17.0,nan,0.0,nan,20,nan,0,nan,17.0,2.0,2.0,0.0,6.0,0.0
3000,nan,555,beverages,iced brewed coffee (with milk & classic syrup) grande nonfat milk,nan,110,nan,0.1,nan,0.0,nan,0.0,24.0,nan,0.0,nan,30,nan,0,nan,24.0,2.0,4.0,0.0,8.0,2.0
3000,nan,556,beverages,iced brewed coffee (with milk & classic syrup) grande 2% milk,nan,120,nan,1.5,nan,0.0,nan,0.5,24.0,nan,5.0,nan,35,nan,0,nan,24.0,2.0,4.0,0.0,8.0,0.0
3000,nan,557,beverages,iced brewed coffee (with milk & classic syrup) grande soymilk,nan,110,nan,1,nan,0.0,nan,0.1,23.0,nan,0.0,nan,30,nan,0,nan,22.0,2.0,2.0,0.0,8.0,0.0
3000,nan,558,beverages,iced brewed coffee (with milk & classic syrup) venti nonfat milk,nan,160,nan,0.1,nan,0.0,nan,0.1,36.0,nan,0.0,nan,50,nan,0,nan,36.0,4.0,6.0,0.0,10.0,4.0
3000,nan,559,beverages,iced brewed coffee (with milk & classic syrup) venti  2% milk,nan,180,nan,2,nan,0.1,nan,1.0,36.0,nan,10.0,nan,55,nan,0,nan,36.0,4.0,6.0,0.0,10.0,0.0
3000,nan,560,beverages,iced brewed coffee (with milk & classic syrup) venti  soymilk,nan,170,nan,1.5,nan,0.0,nan,0.2,34.0,nan,0.0,nan,45,nan,0,nan,33.0,3.0,4.0,0.0,10.0,0.0
3000,nan,561,beverages,shaken iced tazo tea (with classic syrup) tall,nan,60,nan,0,nan,0.0,nan,0.0,15.0,nan,0.0,nan,0,nan,0,nan,15.0,0.0,0.0,0.0,0.0,6.0
3000,nan,562,beverages,shaken iced tazo tea (with classic syrup) grande,nan,80,nan,0,nan,0.0,nan,0.0,21.0,nan,0.0,nan,0,nan,0,nan,21.0,0.0,0.0,0.0,0.0,0.0
