restaurant id,category id,item id,serving size (oz),calories,calories from fat,total fat (g),total fat (% daily value),saturated fat (g),saturated fat (% daily value),trans fat (g),cholesterol (mg),cholesterol (% daily value),sodium (mg),sodium (% daily value),carbohydrates (g),carbohydrates (% daily value),dietary fiber (g),dietary fiber (% daily value),sugars (g),protein (g),vitamin a (% daily value),vitamin c (% daily value),calcium (% daily value),iron (% daily value)
1000,100,40,9.6,290,35.0,4.0,6.0,1.5,8.0,0.0,5.0,2.0,160.0,7.0,58,19.0,5,19.0,32.0,5.0,2.0,130.0,10.0,10.0
1000,100,41,9.6,260,40.0,4.0,6.0,1.5,8.0,0.0,5.0,2.0,115.0,5.0,49,16.0,5,22.0,18.0,5.0,2.0,130.0,6.0,10.0
1000,101,42,7.4,530,240.0,27.0,42.0,10.0,48.0,1.0,85.0,28.0,960.0,40.0,47,16.0,3,13.0,9.0,24.0,6.0,2.0,25.0,25.0
1000,101,43,7.1,520,240.0,26.0,41.0,12.0,61.0,1.5,95.0,31.0,1100.0,46.0,41,14.0,3,11.0,10.0,30.0,10.0,2.0,30.0,25.0
1000,101,44,8.0,600,260.0,29.0,45.0,13.0,63.0,1.5,105.0,34.0,1440.0,60.0,48,16.0,3,12.0,12.0,37.0,6.0,15.0,25.0,30.0
1000,101,45,8.3,610,280.0,31.0,48.0,13.0,64.0,1.5,105.0,35.0,1180.0,49.0,46,15.0,3,14.0,10.0,37.0,8.0,20.0,25.0,30.0
1000,101,46,8.6,540,250.0,27.0,42.0,11.0,54.0,1.5,85.0,28.0,960.0,40.0,45,15.0,3,13.0,9.0,29.0,10.0,8.0,25.0,30.0
1000,101,47,10.0,750,380.0,43.0,66.0,19.0,96.0,2.5,160.0,53.0,1280.0,53.0,42,14.0,3,11.0,10.0,48.0,10.0,2.0,30.0,35.0
1000,101,48,3.5,240,70.0,8.0,12.0,3.0,15.0,0.0,30.0,10.0,480.0,20.0,32,11.0,1,6.0,6.0,12.0,2.0,2.0,10.0,15.0
1000,101,49,4.0,290,100.0,11.0,18.0,5.0,27.0,0.5,45.0,15.0,680.0,28.0,33,11.0,2,7.0,7.0,15.0,6.0,2.0,20.0,15.0
1000,101,50,5.7,430,190.0,21.0,32.0,10.0,52.0,1.0,90.0,30.0,1040.0,43.0,35,12.0,2,8.0,7.0,24.0,10.0,2.0,30.0,20.0
1000,101,51,9.5,720,360.0,40.0,62.0,15.0,75.0,1.5,115.0,38.0,1470.0,61.0,51,17.0,4,14.0,14.0,39.0,8.0,25.0,30.0,25.0
1000,101,52,5.2,380,150.0,17.0,26.0,8.0,40.0,1.0,75.0,25.0,840.0,35.0,34,11.0,2,7.0,7.0,22.0,6.0,2.0,20.0,20.0
1000,101,53,5.7,440,200.0,22.0,34.0,10.0,49.0,1.0,90.0,30.0,1110.0,46.0,35,12.0,2,7.0,7.0,27.0,6.0,10.0,20.0,20.0
1000,101,54,6.7,430,200.0,22.0,35.0,9.0,44.0,1.0,80.0,27.0,760.0,32.0,34,11.0,2,8.0,7.0,22.0,8.0,8.0,20.0,20.0
1000,101,55,5.6,430,210.0,23.0,36.0,9.0,44.0,1.0,80.0,27.0,1030.0,43.0,35,12.0,2,7.0,6.0,22.0,6.0,8.0,20.0,20.0
1000,101,56,7.3,500,240.0,26.0,40.0,10.0,48.0,0.0,70.0,23.0,980.0,41.0,44,15.0,3,10.0,11.0,22.0,2.0,2.0,15.0,20.0
1000,102,57,7.5,510,200.0,22.0,33.0,3.5,18.0,0.0,45.0,16.0,990.0,41.0,55,18.0,3,13.0,10.0,24.0,4.0,6.0,15.0,20.0
1000,102,58,7.0,350,80.0,9.0,13.0,2.0,9.0,0.0,65.0,22.0,820.0,34.0,42,14.0,3,13.0,8.0,28.0,4.0,8.0,15.0,20.0
1000,102,59,8.8,670,300.0,33.0,51.0,9.0,44.0,0.0,85.0,29.0,1410.0,59.0,58,19.0,3,14.0,11.0,36.0,8.0,20.0,30.0,20.0
1000,102,60,8.3,510,180.0,20.0,31.0,7.0,36.0,0.0,105.0,35.0,1250.0,52.0,44,15.0,3,13.0,9.0,40.0,8.0,20.0,30.0,20.0
1000,102,61,8.1,610,250.0,28.0,43.0,6.0,31.0,0.0,70.0,24.0,1400.0,58.0,57,19.0,3,13.0,11.0,32.0,4.0,20.0,15.0,20.0
1000,102,62,7.6,450,130.0,15.0,23.0,4.5,22.0,0.0,90.0,30.0,1230.0,51.0,43,14.0,3,13.0,9.0,36.0,4.0,20.0,15.0,20.0
1000,102,63,10.0,750,340.0,38.0,59.0,10.0,51.0,0.5,90.0,31.0,1720.0,72.0,65,22.0,4,15.0,16.0,36.0,8.0,25.0,30.0,15.0
1000,102,64,9.5,590,230.0,25.0,39.0,8.0,42.0,0.0,110.0,37.0,1560.0,65.0,51,17.0,4,15.0,14.0,40.0,8.0,30.0,30.0,15.0
1000,102,65,5.6,430,170.0,19.0,29.0,3.0,15.0,0.0,45.0,14.0,910.0,38.0,43,14.0,2,7.0,7.0,21.0,4.0,2.0,15.0,15.0
1000,102,66,5.1,360,140.0,16.0,25.0,3.0,15.0,0.0,35.0,11.0,800.0,33.0,40,13.0,2,7.0,5.0,14.0,0.0,2.0,10.0,15.0
1000,102,67,6.0,480,220.0,24.0,38.0,7.0,35.0,0.0,65.0,21.0,1260.0,53.0,43,14.0,2,8.0,6.0,22.0,4.0,10.0,20.0,15.0
1000,102,68,5.7,430,190.0,21.0,32.0,5.0,25.0,0.0,50.0,17.0,1260.0,53.0,41,14.0,2,7.0,6.0,20.0,2.0,10.0,15.0,15.0
1000,102,69,5.2,360,150.0,16.0,25.0,3.0,16.0,0.0,35.0,11.0,990.0,41.0,40,13.0,2,7.0,5.0,14.0,2.0,2.0,15.0,15.0
1000,102,70,11.1,630,280.0,32.0,49.0,9.0,45.0,0.5,80.0,26.0,1540.0,64.0,56,19.0,3,13.0,7.0,32.0,60.0,20.0,20.0,20.0
1000,102,71,10.7,480,170.0,19.0,28.0,7.0,36.0,0.0,95.0,32.0,1370.0,57.0,42,14.0,3,13.0,6.0,36.0,60.0,25.0,20.0,20.0
1000,102,72,10.9,610,280.0,31.0,47.0,8.0,40.0,0.5,65.0,21.0,1340.0,56.0,56,19.0,3,14.0,8.0,27.0,60.0,15.0,20.0,20.0
1000,102,73,10.5,450,160.0,18.0,27.0,6.0,31.0,0.5,80.0,27.0,1170.0,49.0,42,14.0,3,14.0,6.0,30.0,60.0,15.0,15.0,20.0
