item,id
iced caramel mocha (small),217
iced caramel mocha (medium),218
iced caramel mocha (large),219
iced nonfat caramel mocha (small),220
iced nonfat caramel mocha (medium),221
iced nonfat caramel mocha (large),222
frappe mocha (small),223
frappe mocha (medium),224
frappe mocha (large),225
frappe caramel (small),226
frappe caramel (medium),227
frappe caramel (large),228
frappe chocolate chip (small),229
frappe chocolate chip (medium),230
frappe chocolate chip (large),231
blueberry pomegranate smoothie (small),232
blueberry pomegranate smoothie (medium),233
blueberry pomegranate smoothie (large),234
strawberry banana smoothie (small),235
strawberry banana smoothie (medium),236
strawberry banana smoothie (large),237
mango pineapple smoothie (small),238
mango pineapple smoothie (medium),239
mango pineapple smoothie (large),240
vanilla shake (small),241
vanilla shake (medium),242
vanilla shake (large),243
strawberry shake (small),244
strawberry shake (medium),245
strawberry shake (large),246
chocolate shake (small),247
chocolate shake (medium),248
chocolate shake (large),249
shamrock shake (medium),250
shamrock shake (large),251
mcflurry with m&m candies (small),252
mcflurry with m&m candies (medium),253
mcflurry with m&m candies (snack),254
mcflurry with oreo cookies (small),255
mcflurry with oreo cookies (medium),256
mcflurry with oreo cookies (snack),257
mcflurry with reese's peanut butter cups (medium),258
mcflurry with reese's peanut butter cups (snack),259
bbq rib sandwich,260
black forest ham sandwich,261
chicken & bacon ranch melt sandwich,262
chicken mango curry sandwich,263
chicken tikka sandwich,264
chicken vindaloo sandwich,265
classic tuna sandwich,266
cold cut combo sandwich,267
genoa salami sandwich,268
italian b.m.t. sandwich,269
meatball marinara sandwich,270
ham & jack slider sandwich,271
italian spice slider sandwich,272
little cheesesteak slider sandwich,273
little turkey slider sandwich,274
southwest chicken club sandwich,275
steak club sandwich,276
ultimate steak sandwich,277
oven roasted chicken sandwich,278
paneer tikka sandwich,279
roast beef sandwich,280
rotisserie style chicken sandwich,281
spicy italian sandwich,282
steak & cheese sandwich,283
subway club sandwich,284
sweet onion chicken teriyaki sandwich,285
turkey & bacon guacamole sandwich,286
turkey breast sandwich,287
ultimate meatball marinara sandwich,288
ultimate spicy italian sandwich,289
veggie delite sandwich,290
bbq rib salad,291
black forest ham salad,292
chicken & bacon ranch salad,293
cold cut combo salad,294
